No,Brand,Model Insurance,Model TLS,CC
724,MG,MG EXTENDER GC 2.0 2 Doors, EXTENDER GC 2.0 D 6MT (MCE'21),2000
725,MG,MG  EXTENDER GC GRAND 2.0 2 Doors, EXTENDER GC GRAND 2.0 D 6AT (MCE'21),2000
726,FORD,FORD RANGER Standard Cab 2.2 2 Doors, RANGER Standard Cab 2.2L XL 4x2 LR 6MT,2200
727,FORD,FORD RANGER Open Cab 2.2 2 Doors, RANGER Open Cab 2.2L XL 4x2 LR 6MT Street,2200
728,FORD,FORD  RANGER Double Cab 2.2 4 Doors, RANGER Double Cab 2.2L XLT 4x2 HR 6AT,2200
734,VOLVO,VOLVO S60 2.0 4 Doors, S60 Recharge T8 AWD Inscription Expression,2000
750,MERCEDES BENZ,MERCEDES-BENZ C300 2.0 4 Doors, C 300 e AMG Sport 2020,2000
759,MERCEDES BENZ,MERCEDES-BENZ  V250 2.2 4 Doors, V 250 d AMG Line (CBU 2021),2200
763,MERCEDES BENZ,MERCEDES-BENZ  S350 3.0 4 Doors, S 350 d AMG Premium 2021,3000
768,HYUNDAI,HYUNDAI STARIA SEL 4 Doors, STARIA SEL 2021,2200
774,MG,MG  EXTENDER DC GRAND 2.0 2 Doors, EXTENDER DC GRAND 2.0 X 6AT (MCE'21),2000
790,HONDA,HONDA ACCORD 1.5 4 Doors, ACCORD 1.5 EL TURBO MODEL 2021,1500
791,MERCEDES BENZ,MERCEDES-BENZ  E220 2.0 4 Doors, E 220 d AMG Sport (Facelift) MC'21,2000
792,MERCEDES BENZ,MERCEDES-BENZ  GLC220 2.0 4 Doors, GLC 220 d,2000
799,VOLVO,VOLVO S90 Recharge T8 2.0 4 Doors, S90 Recharge T8 AWD Inscription,2000
806,BMW,BMW X3 xDrive 2.0 4 Doors, X3 xDrive 20d M Sport,2000
809,MERCEDES BENZ,MERCEDES-BENZ  S580 3.0 4 Doors, S 580 e AMG Premium,3000
813,HYUNDAI,HYUNDAI STARIA S 4 Doors,STARIA S 2021,2200
828,TOYOTA,TOYOTA VELOZ 1.5 5 Doors, VELOZ 1.5 Premium A1 (White ),1500
863,BMW,BMW X7 xDrive 3.0 5 Doors,X7 xDrive 40d M Sport 2020,3000
868,MERCEDES BENZ,MERCEDES-BENZ S580 3.0 4 Doors,S 580 e AMG Premium,3000
