branch_name,location_name,can_origin,can_stopover,can_destination
Pattaya Branch Branch,เมืองเพชรบูรณ์,1,1,1
Pattaya Branch Branch,เมืองราชบุรี,1,1,1
Pattaya Branch Branch,เมืองกาญจนบุรี,1,1,1
Pattaya Branch Branch,เมืองสุพรรณบุรี,1,1,1
Pattaya Branch Branch,เมืองนครปฐม,1,1,1
Pattaya Branch Branch,เมืองสมุทรสาคร,1,1,1
Pattaya Branch Branch,เมืองสมุทรสงคราม,1,1,1
Pattaya Branch Branch,เมืองเพชรบุรี,1,1,1
Pattaya Branch Branch,เมืองประจวบคีรีขันธ์,1,1,1
Pattaya Branch Branch,หัวหิน,1,1,1
Pattaya Branch Branch,เมืองนครศรีธรรมราช,1,1,1
Pattaya Branch Branch,เมืองกระบี่,1,1,1
Pattaya Branch Branch,เมืองพังงา,1,1,1
Pattaya Branch Branch,เมืองภูเก็ต,1,1,1
Pattaya Branch Branch,กะทู้,1,1,1
Pattaya Branch Branch,ถลาง,1,1,1
Pattaya Branch Branch,สนามบินภูเก็ต,1,1,1
